LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
97500.0,1,2,2,25,1,0,0,0,0,0,141242.0,71740.0,146608.0,148658.0,135768.0,138681.0,4000.0,77000.0,6000.0,5000.0,5100.0,5100.0
65000.0,2,3,2,27,1,0,0,0,0,2,53423.0,39096.0,40037.0,40584.0,43629.0,41432.0,1958.0,1953.0,1500.0,3700.0,0.0,1700.0
45500.0,2,1,2,25,1,0,0,0,0,0,24526.0,25532.0,25971.0,14859.0,14930.0,15091.0,1790.0,1229.0,519.0,687.0,557.0,546.0
162500.0,2,1,2,32,1,0,0,0,0,0,26465.0,30762.0,32833.0,34055.0,34321.0,23166.0,5000.0,3000.0,2500.0,1000.0,3050.0,4000.0
143000.0,2,2,2,28,1,0,0,0,0,0,43436.0,46883.0,44179.0,44704.0,44997.0,45199.0,5012.0,2500.0,2000.0,2000.0,3000.0,3000.0
32500.0,1,3,2,39,1,0,0,0,0,0,39753.0,40701.0,41342.0,41424.0,41182.0,41187.0,2000.0,2000.0,2000.0,1600.0,2000.0,2000.0
13000.0,1,1,1,36,1,0,0,0,0,0,18958.0,19427.0,19021.0,19449.0,19162.0,0.0,1500.0,2000.0,1200.0,413.0,0.0,0.0
58500.0,2,1,2,29,2,2,0,0,0,0,9370.0,9078.0,10267.0,10350.0,10564.0,10771.0,0.0,1500.0,550.0,529.0,531.0,550.0
58500.0,1,2,1,36,5,3,2,0,0,0,62737.0,61413.0,59823.0,29526.0,25903.0,26563.0,0.0,0.0,1300.0,1000.0,1000.0,1500.0
234000.0,2,2,1,38,-1,-1,-1,-1,-1,-1,0.0,212.0,3748.0,-2.0,666.0,919.0,212.0,3759.0,0.0,668.0,921.0,0.0
19500.0,2,3,1,38,-1,-2,-2,-2,-2,-2,1535.0,835.0,8927.0,5371.0,0.0,1996.0,835.0,8939.0,5480.0,0.0,1996.0,0.0
32500.0,1,2,2,28,1,0,0,2,0,0,8608.0,10300.0,12711.0,12210.0,12508.0,13306.0,2000.0,2900.0,0.0,500.0,1000.0,1000.0
78000.0,2,2,1,47,1,0,0,0,0,0,97989.0,101458.0,103840.0,105646.0,86127.0,67269.0,5100.0,5500.0,5170.0,3543.0,3000.0,3238.0
65000.0,2,3,1,35,2,2,2,2,2,2,97002.0,102698.0,97997.0,103384.0,97266.0,101492.0,8200.0,0.0,8000.0,0.0,8600.0,0.0
227500.0,1,2,2,34,1,0,0,0,0,0,38021.0,29493.0,31838.0,32369.0,33478.0,83304.0,3000.0,3000.0,3000.0,1500.0,52000.0,3000.0
273000.0,2,2,2,29,1,0,0,0,-1,0,82235.0,67757.0,53524.0,-8318.0,96795.0,81523.0,3000.0,3000.0,182.0,123000.0,2740.0,2200.0
52000.0,1,2,2,27,2,2,-1,-1,-1,-1,3751.0,832.0,2696.0,1457.0,990.0,3356.0,2.0,2704.0,1461.0,993.0,3366.0,5012.0
149500.0,2,1,2,37,-1,-2,-2,-2,-2,-2,2283.0,50815.0,0.0,0.0,299.0,338.0,51315.0,0.0,0.0,299.0,338.0,0.0
227500.0,1,1,1,60,2,-1,-1,-1,-2,-1,0.0,1150.0,4576.0,0.0,0.0,1206.0,1150.0,4576.0,0.0,0.0,1206.0,0.0
182000.0,1,2,1,36,2,2,2,2,0,0,168708.0,172528.0,174328.0,170028.0,174281.0,185348.0,8000.0,6100.0,0.0,7000.0,14000.0,7000.0
65000.0,2,2,2,29,1,0,0,0,0,0,75012.0,77784.0,73535.0,72067.0,59495.0,56850.0,4000.0,3105.0,4069.0,3000.0,2500.0,2000.0
19500.0,1,2,1,42,1,0,0,0,0,0,28658.0,28281.0,29826.0,28572.0,9072.0,0.0,1656.0,3000.0,1000.0,500.0,0.0,0.0
32500.0,1,2,2,23,1,0,0,0,0,0,11148.0,13637.0,14959.0,16204.0,16536.0,17118.0,3000.0,1850.0,1800.0,900.0,1000.0,1000.0
65000.0,1,3,1,44,0,-1,-1,-1,-1,-1,780.0,0.0,390.0,390.0,390.0,390.0,0.0,390.0,390.0,390.0,390.0,390.0
149500.0,2,5,1,39,0,-1,0,0,-2,-2,7479.0,31280.0,120000.0,0.0,0.0,0.0,31280.0,90000.0,0.0,0.0,0.0,0.0
45500.0,2,2,2,40,3,0,0,0,0,0,64744.0,66030.0,67450.0,68587.0,57710.0,58918.0,2361.0,2482.0,2293.0,2063.0,2135.0,2188.0
84500.0,2,2,2,25,0,-1,-1,-1,-1,-1,1031.0,1583.0,776.0,776.0,776.0,776.0,1583.0,1000.0,776.0,776.0,776.0,12184.0
156000.0,2,1,1,42,0,2,-1,-1,0,-1,2108.0,1386.0,17601.0,1410.0,705.0,705.0,0.0,17601.0,2115.0,0.0,705.0,4000.0
58500.0,2,2,2,23,2,3,2,0,0,0,39772.0,38836.0,36654.0,32747.0,33091.0,33291.0,0.0,15.0,1831.0,1175.0,1338.0,1216.0
65000.0,2,2,1,38,1,0,0,0,0,2,84883.0,86616.0,88207.0,89428.0,95895.0,93092.0,4000.0,4500.0,3500.0,8000.0,4000.0,0.0
208000.0,1,1,2,32,0,-1,-1,0,0,-1,488.0,2290.0,14080.0,9931.0,7590.0,9685.0,2301.0,14109.0,11.0,38.0,9733.0,20444.0
78000.0,1,1,2,28,0,-1,-1,-1,-1,-1,231.0,6665.0,880.0,0.0,4440.0,4440.0,6673.0,880.0,0.0,4440.0,4440.0,4440.0
32500.0,1,2,1,38,1,0,0,0,0,0,25809.0,14888.0,20803.0,18395.0,18386.0,18420.0,2000.0,20000.0,700.0,665.0,727.0,505.0
97500.0,1,1,2,25,1,0,0,0,0,0,51568.0,52952.0,95134.0,31578.0,26089.0,16624.0,3000.0,60086.0,2000.0,2000.0,5000.0,6000.0
104000.0,2,2,1,42,0,0,0,0,0,0,34186.0,35186.0,36512.0,36382.0,37105.0,38034.0,1569.0,1895.0,1606.0,1329.0,1528.0,1600.0
19500.0,2,2,2,23,4,3,3,3,2,2,29093.0,29532.0,29954.0,29176.0,29958.0,30520.0,1200.0,1200.0,0.0,1400.0,1200.0,0.0
130000.0,2,1,2,27,-1,-2,-2,-2,-2,-2,4941.0,5555.0,15546.0,1665.0,3370.0,-36.0,5610.0,15616.0,1673.0,3385.0,0.0,95456.0
58500.0,2,2,2,36,2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0
325000.0,1,3,2,32,1,0,2,0,0,0,211508.0,183713.0,158759.0,119566.0,123098.0,132355.0,10070.0,3066.0,13366.0,20898.0,20155.0,16101.0
52000.0,2,2,1,46,2,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,650.0,0.0
71500.0,2,2,2,35,1,0,0,0,0,0,22514.0,23201.0,23914.0,24886.0,24903.0,25102.0,1378.0,1723.0,1695.0,1028.0,1056.0,907.0
214500.0,2,2,1,30,1,0,0,0,0,-1,155285.0,156122.0,11733.0,9620.0,0.0,4520.0,10000.0,10000.0,2000.0,0.0,4520.0,2500.0
52000.0,2,2,2,29,1,0,0,0,0,0,24822.0,25824.0,26605.0,27920.0,28358.0,29000.0,1720.0,1500.0,1762.0,1200.0,1250.0,3200.0
110500.0,2,1,2,31,0,-1,-1,-1,-1,-1,1561.0,1239.0,7315.0,10730.0,1686.0,9445.0,1239.0,7352.0,10730.0,1686.0,9445.0,3444.0
143000.0,1,1,2,31,-1,-2,-2,-2,-2,-2,332.0,332.0,328.0,1024.0,1888.0,1132.0,333.0,329.0,1029.0,1897.0,1137.0,1499.0
143000.0,1,2,1,39,6,4,3,2,0,0,187665.0,175338.0,163018.0,128157.0,131067.0,108683.0,0.0,11.0,0.0,4561.0,5007.0,170806.0
65000.0,2,2,1,40,1,0,0,0,0,0,90828.0,83479.0,73749.0,68512.0,72518.0,65890.0,3523.0,3025.0,2344.0,5000.0,3000.0,2000.0
156000.0,1,1,1,50,0,-1,-1,-2,-1,-1,35117.0,17330.0,58422.0,54755.0,43605.0,26293.0,11051.0,116904.0,54762.0,43705.0,26293.0,13011.0
182000.0,2,3,1,46,3,2,0,0,0,0,506515.0,491801.0,62236.0,54813.0,38669.0,18010.0,0.0,1803.0,1475.0,1105.0,534.0,318.0
117000.0,2,2,1,43,0,-1,-1,-1,-1,0,7823.0,9549.0,1968.0,1800.0,8198.0,511.0,9549.0,1968.0,1800.0,8198.0,0.0,844.0
52000.0,2,2,1,30,2,2,0,0,0,0,82891.0,80997.0,81380.0,75374.0,77158.0,78710.0,0.0,3299.0,2699.0,3000.0,2987.0,3100.0
123500.0,1,2,1,48,1,-1,0,0,0,0,6450.0,189102.0,189018.0,175871.0,157218.0,151618.0,189717.0,7779.0,6092.0,5018.0,6168.0,1218.0
65000.0,2,1,2,26,0,-1,-2,-2,-2,-2,26273.0,-73.0,-73.0,-73.0,-73.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0
331500.0,2,3,1,61,1,0,0,2,0,0,187070.0,181733.0,192903.0,181801.0,178179.0,223100.0,8500.0,17000.0,0.0,6508.0,50000.0,7000.0
247000.0,1,2,1,37,1,0,0,0,0,0,288908.0,288614.0,245375.0,249931.0,209711.0,185920.0,12036.0,11483.0,9578.0,6884.0,6549.0,6520.0
201500.0,2,1,1,29,-1,-2,-2,-2,-2,-2,594.0,235.0,5641.0,0.0,0.0,0.0,477.0,5648.0,0.0,0.0,0.0,2287.0
